name,L-30_1,L-30_2,L-30_3,FD30_1,FD30_2,FD30_3,FD90_1,FD90_2,FD90_3,FD150_1,FD150_2,FD150_3,R+1_1,R+1_2,R+1_3,R+7_1,R+7_2,R+7_3
Phocaeicola plebeius,0.00106,0.00164,0.00024,0.0012,0.00168,0.00085,0.00199,0.00132,0.00069,0.00132,0.00149,0.00074,0.00126,0.00195,0.00043,0.00156,0.00166,0.00047
Phocaeicola sp900066455,0.00076,0.00066,9e-05,0.00347,0.00109,0.00028,0.00238,0.00056,0.00023,0.00085,0.00079,0.00025,0.00093,0.00099,0.00025,0.00087,0.00081,0.00018
Phocaeicola vulgatus,0.24475,0.13632,0.01291,0.29986,0.40811,0.02168,0.21327,0.23899,0.01635,0.29251,0.30302,0.01653,0.21663,0.39749,0.00371,0.17852,0.29638,0.01309
Phocaeicola sartorii,0.0007,0.00051,0.00011,0.00152,0.00351,0.00036,0.00065,0.00108,0.00038,0.00105,0.00121,0.00023,0.00065,0.00116,8e-05,0.00059,0.00086,0.00013
Phocaeicola sp000436795,0.00016,0.00025,0.00017,0.00036,0.00029,0.00018,0.00025,0.00017,0.00016,0.00036,0.00018,8e-05,0.00021,0.00042,0.00023,0.00024,0.0003,0.00011
Phocaeicola sp900552645,3e-05,2e-05,1e-05,3e-05,4e-05,3e-05,4e-05,3e-05,3e-05,7e-05,4e-05,1e-05,3e-05,6e-05,2e-05,4e-05,6e-05,2e-05
Phocaeicola sp002161565,1e-05,1e-05,1e-05,8e-05,0.0001,2e-05,6e-05,0.0001,8e-05,7e-05,0.00011,1e-05,8e-05,3e-05,6e-05,5e-05,9e-05,4e-05
Phocaeicola sp900553185,0.00025,2e-05,0.0007,0.0001,5e-05,6e-05,7e-05,2e-05,0.00016,6e-05,4e-05,0.00015,0.0001,3e-05,0.00017,0.00016,3e-05,0.00032
Phocaeicola sp900542985,0,0,0,2e-05,4e-05,0,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,1e-05,0,1e-05,1e-05,0
Phocaeicola sp900546095,0,0,0,1e-05,3e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0
Phocaeicola sp900544675,0,0,0,1e-05,2e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05,1e-05
