name,L-30_1,L-30_2,L-30_3,FD30_1,FD30_2,FD30_3,FD90_1,FD90_2,FD90_3,FD150_1,FD150_2,FD150_3,R+1_1,R+1_2,R+1_3,R+7_1,R+7_2,R+7_3
Schaedlerella glycyrrhizinilytica,0.00018,0.00116,0.00014,3e-05,8e-05,8e-05,5e-05,0.00019,0.00034,0.00023,0.00055,0.00027,0.0001,0.00031,0.00011,0.0001,0.00049,0.00014
Schaedlerella sp900066545,0.00023,0.00023,0.00016,0.00017,0.00013,7e-05,9e-05,5e-05,0.00016,0.00011,0.00017,0.00024,9e-05,0.00011,7e-05,0.00016,7e-05,5e-05
MGYG000001994,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,1e-05,0,0,0
Agathobacter rectalis,0.02803,0.00017,0.00142,0.00141,5e-05,0.00332,0.00337,5e-05,0.00561,0.0147,0.00012,0.01502,0.01627,0.00022,0.07189,0.08337,4e-05,0.10085
Agathobacter faecis,0.0345,3e-05,0.00433,0.00464,3e-05,0.00302,0.00889,3e-05,0.03888,0.02617,5e-05,0.00943,0.00957,0.00014,0.02006,0.0173,3e-05,0.00876
Agathobacter sp900548765,4e-05,6e-05,2e-05,1e-05,2e-05,2e-05,1e-05,3e-05,0.00018,4e-05,7e-05,5e-05,4e-05,3e-05,6e-05,0.00011,3e-05,9e-05
Agathobacter sp900552085,0.00017,0,0,2e-05,0,1e-05,0,0,7e-05,2e-05,0,2e-05,1e-05,0,0.00021,5e-05,0,7e-05
Agathobacter sp900543445,4e-05,0,0,1e-05,0,0,0.0004,0,3e-05,0.00011,0,1e-05,0.00021,0,4e-05,0.00391,0,2e-05
Agathobacter sp900546625,0,0,0,0,0,3e-05,0,0,2e-05,2e-05,0,0.00049,1e-05,0,5e-05,1e-05,0,0.00013
Agathobacter sp900547695,0,0,0,0,0,1e-05,0,0,1e-05,1e-05,0,0.0001,0,0,3e-05,1e-05,0,3e-05
Faecalimonas umbilicata,0.00021,0.0007,0.00038,0.00011,0.0002,8e-05,0.0001,0.00024,0.00122,0.00017,0.00076,0.00035,0.00014,0.00039,0.00023,0.0002,0.00033,0.00023
Faecalimonas sp900555395,0,0,1e-05,0,1e-05,0,0,0,0,0,1e-05,0,0,0,0,0,0,1e-05
Faecalimonas sp900550235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clostridium_AP scindens,0.00049,0.00041,0.00015,0.00018,0.00021,5e-05,0.00011,0.0001,0.00024,0.0003,0.00024,0.00014,0.00027,0.00028,0.0002,0.00038,0.00018,0.00017
OF09-33XD sp003481995,0.00027,0.00061,6e-05,0.00013,0.00047,2e-05,6e-05,0.00017,0.00014,0.00017,0.00039,0.00011,0.00026,0.0002,0.00011,0.00015,0.00048,7e-05
AM51-8 sp003478275,0.00077,0.00031,7e-05,0.0005,0.00013,6e-05,0.00029,0.00011,0.00091,0.00064,0.00021,0.00025,0.00028,0.00044,0.00052,0.00084,0.00016,0.00033
AM51-8 sp900761925,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0
Anaerosporobacter mobilis,0.00013,0.00011,3e-05,7e-05,3e-05,1e-05,3e-05,6e-05,0.00016,0.0001,0.00013,4e-05,0.00017,0.00012,0.00013,9e-05,6e-05,7e-05
Lachnospira rogosae_A,0.00088,0.00273,0.00079,0.00016,0.00026,9e-05,0.00013,0.00014,0.00087,0.00029,0.00114,0.00055,0.00032,0.00025,0.00075,0.00107,0.00034,0.00106
Lachnospira sp900772425,0,2e-05,0,0,5e-05,0,0,2e-05,3e-05,0,3e-05,1e-05,0,4e-05,4e-05,1e-05,1e-05,1e-05
Lachnospira sp900545725,1e-05,0,3e-05,1e-05,0,3e-05,1e-05,0,0.00018,1e-05,1e-05,2e-05,1e-05,0,7e-05,3e-05,0,0.0002
Lachnospira sp000436475,8e-05,1e-05,2e-05,4e-05,0,1e-05,0.00031,0,4e-05,0.00015,1e-05,2e-05,0.00031,0,6e-05,0.0042,0,6e-05
Lachnospira sp900547255,1e-05,1e-05,2e-05,0,0,1e-05,0,0,1e-05,0,1e-05,3e-05,0,0,7e-05,2e-05,0,0.0003
Lachnospira sp900316325,0,0,7e-05,0,0,1e-05,0,0,1e-05,0,0,6e-05,0,0,1e-05,0,0,1e-05
Lachnospira sp900552795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA3766 sp900769175,0.03535,0.04284,0.00084,0.02182,0.00549,0.00249,0.10326,0.02942,0.00143,0.04393,0.03264,0.00079,0.03516,0.06859,0.00022,0.0687,0.0558,0.00114
Sellimonas intestinalis,9e-05,0.00015,2e-05,3e-05,5e-05,1e-05,3e-05,6e-05,8e-05,6e-05,0.00014,3e-05,4e-05,0.00017,6e-05,8e-05,6e-05,4e-05
Sellimonas sp002161525,0.00011,9e-05,7e-05,8e-05,9e-05,2e-05,9e-05,4e-05,0.00012,0.00013,0.0001,6e-05,9e-05,7e-05,8e-05,0.0001,4e-05,8e-05
Muricomes sp000509105,0.00068,0.00017,7e-05,7e-05,4e-05,7e-05,5e-05,5e-05,0.00123,0.00018,9e-05,0.00016,0.00013,0.0001,0.00026,6e-05,4e-05,0.00027
Muricomes contortus_B,0.00069,2e-05,1e-05,3e-05,1e-05,0,2e-05,0,8e-05,4e-05,2e-05,2e-05,9e-05,1e-05,4e-05,0.0001,0,1e-05
MGYG000003777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA3402 sp003478355,0.01735,0.00041,0.00029,0.00905,0.00039,0.00028,0.0018,0.00013,0.00361,0.01081,0.00029,0.00208,0.00187,0.00052,0.00063,0.00408,0.00019,0.00084
MGYG000000680,1e-05,0,0,0,0,0,0,0,1e-05,0,0,2e-05,0,0,0,0,0,0
COE1 sp001916965,0.00012,0.00013,1e-05,5e-05,4e-05,1e-05,0.0014,3e-05,8e-05,0.00031,8e-05,3e-05,0.00075,0.00016,7e-05,0.0124,6e-05,3e-05
Anaerobutyricum hallii,0.00012,6e-05,0.00018,4e-05,2e-05,4e-05,6e-05,2e-05,0.00013,0.00017,3e-05,0.00017,0.00018,8e-05,0.00035,0.00137,3e-05,0.00039
Anaerobutyricum soehngenii,0.00064,2e-05,1e-05,0.00019,1e-05,2e-05,0.00017,0,5e-05,0.00019,1e-05,7e-05,0.00021,1e-05,4e-05,0.00185,1e-05,2e-05
Anaerobutyricum sp002161065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mediterraneibacter_A butyricigenes,0.00043,0.00789,3e-05,0.00039,0.00013,4e-05,0.00023,9e-05,0.00016,0.00015,7e-05,0.00025,0.00029,0.00039,0.00029,0.00054,0.00026,0.00028
GCA-900066755 sp902363085,0.0007,0.00017,3e-05,9e-05,8e-05,1e-05,5e-05,4e-05,0.00014,9e-05,8e-05,4e-05,0.00014,0.00012,0.0001,0.00013,7e-05,5e-05
AF33-28 sp003477885,0.00078,0.00017,5e-05,0.00023,3e-05,2e-05,0.0002,3e-05,0.00015,0.0005,5e-05,0.0001,0.00049,0.0001,0.00012,0.00441,6e-05,0.00014
UBA7182 sp003480725,0.01774,0.0008,0.0002,0.00133,8e-05,0.00031,0.00215,6e-05,0.00464,0.00193,0.00015,0.0003,0.00229,0.00019,0.00355,0.01064,0.00011,0.00195
Acetivibrio_A ethanolgignens,0.00024,0.00044,6e-05,8e-05,5e-05,3e-05,5e-05,9e-05,0.00018,0.00027,0.0003,9e-05,0.00013,0.00011,0.00017,0.00019,0.00016,0.00012
CAG-95 sp900066375,0.00021,0.0002,8e-05,0.00015,0.0001,3e-05,9e-05,6e-05,0.00038,0.00018,0.00017,7e-05,0.00013,0.00013,0.0003,0.00025,8e-05,0.00014
MGYG000002657,0,0,0,0,0,0,0,0,1e-05,0,0,1e-05,0,0,0,0,0,0
CAG-95 sp000438155,1e-05,0,0,0,0,0,0,0,1e-05,0,0,1e-05,3e-05,0,0,0,0,0
CAG-95 sp900553305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eubacterium_F sp003491505,0.0003,0.00014,4e-05,6e-05,3e-05,3e-05,4e-05,3e-05,0.00022,0.00012,9e-05,0.00015,8e-05,8e-05,0.00014,0.0002,4e-05,0.00012
Extibacter hylemonae,0.00024,4e-05,6e-05,0.00069,3e-05,1e-05,0.00017,3e-05,7e-05,0.00017,6e-05,2e-05,0.00036,3e-05,6e-05,0.00044,2e-05,5e-05
RUG115 sp900066395,0.00076,8e-05,6e-05,0.00054,0.0001,4e-05,0.00061,5e-05,0.00029,0.00054,9e-05,0.00013,0.00046,9e-05,0.00034,0.00397,4e-05,0.00035
CAG-632 sp900539185,1e-05,8e-05,1e-05,3e-05,1e-05,1e-05,1e-05,2e-05,0.00024,2e-05,3e-05,0.00011,1e-05,3e-05,6e-05,1e-05,1e-05,6e-05
CAG-632 sp002406015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGM12587 sp900766915,5e-05,4e-05,3e-05,3e-05,2e-05,1e-05,3e-05,2e-05,0.0001,3e-05,5e-05,2e-05,3e-05,4e-05,7e-05,7e-05,2e-05,4e-05
Dorea formicigenerans,3e-05,0.00011,0.00359,3e-05,4e-05,0.00047,7e-05,5e-05,0.00112,6e-05,6e-05,0.00041,3e-05,0.0001,0.00026,4e-05,4e-05,0.00051
MGYG000004839,0,1e-05,0,1e-05,0.0003,3e-05,1e-05,4e-05,0.00013,0,4e-05,1e-05,0,1e-05,5e-05,0,1e-05,3e-05
GCA-900066135 sp900543575,0,0,3e-05,0,0,0,0,0,0,3e-05,0,0,0,0,0,0,0,0
UBA2856 sp009696445,2e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,5e-05,2e-05,1e-05,1e-05,1e-05,1e-05,3e-05,3e-05,1e-05,2e-05
Dorea_A longicatena_B,9e-05,7e-05,0.03848,7e-05,9e-05,0.00756,6e-05,1e-05,0.01657,8e-05,4e-05,0.0079,7e-05,4e-05,0.00261,6e-05,3e-05,0.00917
Anaerostipes rhamnosivorans,0.00023,1e-05,0,4e-05,2e-05,4e-05,1e-05,1e-05,5e-05,0.00015,1e-05,0.00031,3e-05,1e-05,5e-05,5e-05,1e-05,3e-05
CAG-303 sp900539455,5e-05,1e-05,0,2e-05,1e-05,0,2e-05,1e-05,4e-05,2e-05,2e-05,1e-05,1e-05,1e-05,2e-05,6e-05,1e-05,1e-05
CAG-56 sp900539525,0.00162,0,2e-05,0.00015,0.00025,5e-05,0.00023,2e-05,0.00186,0.00061,3e-05,0.0001,0.00031,0,0.00062,0.00037,1e-05,0.00017
CAG-56 sp900752065,1e-05,0,1e-05,1e-05,0,0,1e-05,0,2e-05,1e-05,0,1e-05,1e-05,0,2e-05,1e-05,0,1e-05
MGYG000001219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG-791 sp900315055,0,1e-05,0,1e-05,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0
CAG-791 sp000431495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA2882 sp900549665,3e-05,3e-05,0,2e-05,1e-05,0,1e-05,1e-05,3e-05,1e-05,5e-05,1e-05,1e-05,1e-05,1e-05,2e-05,1e-05,1e-05
CAG-317 sp000433535,0,1e-05,0,0,0,0,1e-05,0,0,1e-05,0,1e-05,1e-05,1e-05,0,0,1e-05,0
CAG-317 sp900543415,0,0,0,1e-05,4e-05,0,0,1e-05,0,0,1e-05,1e-05,0,0,0,0,0,0
MGYG000000626,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,1e-05,1e-05,0,1e-05
UBA11774 sp003507655,2e-05,1e-05,1e-05,1e-05,1e-05,0,1e-05,0,5e-05,1e-05,1e-05,1e-05,1e-05,0,2e-05,2e-05,1e-05,3e-05
MGYG000000378,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,1e-05,0,0,1e-05
CAG-127 sp900553925,0,0,0,0,0,1e-05,0,0,1e-05,1e-05,0,0.00012,0,0,0,0,0,0
1XD42-69 sp014287635,4e-05,0,0,1e-05,0,0,0,0,2e-05,2e-05,0,2e-05,1e-05,0,3e-05,3e-05,0,2e-05
MGYG000003442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oribacterium sp004554245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000002243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oribacterium sp900770445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000721,7e-05,0,0,1e-05,0,0,1e-05,0,2e-05,2e-05,0,0,2e-05,0,1e-05,2e-05,0,1e-05
CAG-510 sp900550475,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,1e-05,0,0,0
CAG-510 sp900551115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG-510 sp000434615,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004519,4e-05,0,0,0,0,0,1e-05,0,5e-05,2e-05,0,1e-05,1e-05,0,1e-05,1e-05,0,0
MGYG000002052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004774,3e-05,0,0,1e-05,2e-05,0,0,0,0,0,1e-05,1e-05,0,0,0,1e-05,0,0
MGYG000002210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerosacchariphilus sp002160765,0,0,0,1e-05,0,0,0,0,2e-05,1e-05,0,0,0,0,1e-05,1e-05,0,1e-05
Anaerosacchariphilus sp014290175,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,1e-05,0,0,1e-05
Anaerocolumna aminovalerica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000003578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,1e-05
MGYG000004039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004169,3e-05,0,0,5e-05,1e-05,1e-05,1e-05,0,1e-05,3e-05,0,0,0,0,0,1e-05,0,0
UMGS680 sp900544525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004380,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0
Robinsoniella sp900540475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004689,1e-05,0,1e-05,0,0,0,0,0,4e-05,1e-05,0,1e-05,1e-05,0,4e-05,1e-05,1e-05,2e-05
Butyrivibrio_A sp900768755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyrivibrio_A sp000431815,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0
MGYG000004660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG-882 sp900545175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG-882 sp900545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massilistercora timonensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000574,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0
UMGS1472 sp900552095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG-411 sp000437275,0,0,0,0,0,0,0,0,1e-05,0,0,1e-05,0,0,0,0,0,1e-05
CAG-194 sp000432915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000003769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000002075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dorea_B phocaeensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG-590 sp900544905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,1e-05,0,0
CAG-590 sp900548855,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000356,0,0,0,0,0,0,0,0,1e-05,0,0,1e-05,0,0,1e-05,0,0,0
Merdimonas sp900553355,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000003970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RUG14107 sp900772685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frisingicoccus sp900757195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000003273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerotignum faecicola,0.00271,0.00011,0.00094,0.0002,9e-05,0.00122,6e-05,4e-05,0.00112,0.0002,9e-05,0.00104,0.0002,0.00012,0.00084,0.0004,9e-05,0.00409
MGYG000002623,0.00077,1e-05,0,2e-05,1e-05,0,3e-05,1e-05,2e-05,4e-05,1e-05,0,9e-05,7e-05,0,6e-05,0.00012,0
Anaerotignum sp001304995,0.00087,0.00019,8e-05,4e-05,0.00016,0.00017,4e-05,9e-05,0.00015,0.00018,0.00019,0.00036,0.00012,0.0001,0.00018,0.00012,0.00012,0.00038
Anaerotignum lactatifermentans,0.00056,1e-05,0,3e-05,2e-05,1e-05,1e-05,1e-05,1e-05,4e-05,1e-05,7e-05,3e-05,2e-05,0.00034,5e-05,2e-05,7e-05
UMGS1670 sp900548595,0.00079,1e-05,0,6e-05,1e-05,2e-05,0,0,2e-05,3e-05,1e-05,9e-05,3e-05,1e-05,4e-05,2e-05,0,2e-05
UMGS1670 sp900553995,0,0,0,0,0,1e-05,0,0,0,0,0,3e-05,0,0,0,0,0,0
UMGS1670 sp900546215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004775,2e-05,1e-05,0,0,0,0,0,0,1e-05,1e-05,0,1e-05,1e-05,1e-05,1e-05,3e-05,0,1e-05
NSJ-32 sp014384895,0,0,0,1e-05,0,0,1e-05,0,1e-05,1e-05,0,0,2e-05,0,1e-05,1e-05,0,1e-05
MGYG000001033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMGS1441 sp900551755,0.00031,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000001833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niameybacter sp900549765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massilioclostridium methylpentosum,2e-05,1e-05,1e-05,1e-05,7e-05,0,1e-05,0.00031,2e-05,1e-05,0.00016,1e-05,2e-05,0.00024,3e-05,1e-05,7e-05,1e-05
Faecalibacterium sp900551435,2e-05,2e-05,2e-05,3e-05,4e-05,2e-05,3e-05,3e-05,2e-05,3e-05,3e-05,2e-05,3e-05,4e-05,2e-05,3e-05,4e-05,2e-05
Faecalibacterium prausnitzii,0.00668,0,0.00284,0.00087,0,0.00081,0.00091,0,0.00162,0.00677,0,0.00029,0.00476,1e-05,0.00954,0.00353,0,0.00147
Faecalibacterium prausnitzii_D,0.00564,0,0.0007,0.00042,0,0.0001,0.00194,0,0.00015,0.00849,0,0.00013,0.00644,1e-05,0.0005,0.00359,0,0.00013
Faecalibacterium prausnitzii_I,0.00153,0,0.00062,0.00026,0,0.0001,8e-05,0,0.00047,0.00075,0,9e-05,0.00052,0,0.00145,0.00076,0,0.00016
Faecalibacterium prausnitzii_G,0.00427,0,0.00225,0.00065,0,0.00011,0.00066,0,0.00117,0.00267,0,0.00035,0.0026,0,0.00185,0.00393,0,0.00033
Faecalibacterium sp900765105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faecalibacterium sp900539885,2e-05,0,1e-05,0,0,0,0,0,0,2e-05,0,0,1e-05,0,0,1e-05,0,0
Faecalibacterium prausnitzii_J,0,0,1e-05,0,0,1e-05,0,0,1e-05,0,0,1e-05,0,0,3e-05,0,0,1e-05
Faecalibacterium sp900539945,0.00014,0,3e-05,5e-05,0,1e-05,0,0,0,8e-05,0,1e-05,3e-05,0,2e-05,9e-05,0,1e-05
MGYG000002223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0
Faecalibacterium sp900540455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000002610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0
MGYG000000876,0,0,6e-05,0,0,1e-05,0,0,1e-05,0,0,5e-05,0,0,4e-05,0,0,2e-05
Ruminococcus_D sp900539835,1e-05,2e-05,0,0,1e-05,0,0,1e-05,1e-05,0,1e-05,1e-05,1e-05,3e-05,1e-05,1e-05,1e-05,1e-05
Ruminococcus_D sp900543145,1e-05,5e-05,0,1e-05,1e-05,0,0,1e-05,2e-05,1e-05,6e-05,0,1e-05,1e-05,3e-05,0,2e-05,0
Ruminococcus_D sp000434695,1e-05,0,0,0,0,0,0,0,0,1e-05,0,2e-05,1e-05,0,1e-05,0,0,0
Ruminococcus_D sp900539095,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0
UBA1394 sp900066845,5e-05,1e-05,2e-05,1e-05,0,0,2e-05,0,4e-05,7e-05,0,1e-05,0.00016,1e-05,6e-05,3e-05,0,2e-05
MGYG000004304,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA1394 sp900554975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemmiger formicilis,0.00033,1e-05,0.00249,0.00011,3e-05,0.0001,3e-05,2e-05,8e-05,0.00043,2e-05,7e-05,0.00032,1e-05,0.00042,0.00019,1e-05,0.0001
Gemmiger variabilis,0.00019,0,0.00078,6e-05,0,2e-05,2e-05,0,2e-05,0.0002,0,1e-05,8e-05,0,7e-05,0.00023,0,3e-05
Gemmiger variabilis_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gemmiger sp900540775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000000724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG-353 sp900066885,2e-05,1e-05,2e-05,2e-05,0,0,2e-05,0,3e-05,8e-05,0,3e-05,0.00015,1e-05,4e-05,2e-05,1e-05,2e-05
CAG-353 sp900768995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000002708,0,0,1e-05,1e-05,0,1e-05,1e-05,1e-05,1e-05,1e-05,0,2e-05,1e-05,1e-05,0,0,0,0
UBA3818 sp900557155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000002677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerotruncus rubiinfantis,2e-05,0,1e-05,1e-05,0,1e-05,3e-05,0,6e-05,0.00014,0,1e-05,0.00044,0,0.00019,6e-05,0,7e-05
Harryflintia acetispora,8e-05,0,2e-05,5e-05,0,1e-05,0.00015,0,0.00019,0.00044,0,1e-05,0.00119,0,0.0004,0.00015,0,0.00018
MGYG000004849,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000002089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA5884 sp900551505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus_C sp000437175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus_C sp900765125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMGS1601 sp900545345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG-115 sp900768125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG-115 sp900766795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG-115 sp003507295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG-115 sp003516865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG-115 sp000432175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAG-115 sp900768705,0,0,2e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HGM13233 sp900762805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminiclostridium_E sp003512525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000003005,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0
MGYG000004384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruminococcus sp900761275,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,0,0,0,0,0
Ruminococcus sp900540005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelakisella sp900552845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angelakisella sp900547385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBA1409 sp900760125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pygmaiobacter massiliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000003299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMGS966 sp900761965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMGS966 sp900547185,2e-05,0,0,1e-05,0,0,0,0,1e-05,2e-05,0,0,0.0002,0,2e-05,1e-05,0,4e-05
UBA866 sp900543295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000004791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruthenibacterium sp900546885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruthenibacterium sp900759375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QAMM01 sp003150405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QAMM01 sp900552945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negativibacillus sp900547455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negativibacillus sp000435195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Negativibacillus sp900547015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMGS363 sp900768245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UMGS363 sp900550695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGYG000002221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
