name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Roseburia hominis	3527	S	1787776	2518046	4305822	0.10084
Roseburia sp900552665	553	S	503592	578168	1081760	0.02533
Roseburia sp003483745	1065	S	21738	3771	25509	0.00060
Roseburia sp900756925	5931	S	8743	845	9588	0.00022
Roseburia sp900542495	5468	S	7562	4806	12368	0.00029
MGYG000004752	5968	S	619	5	624	0.00001
Agathobacter rectalis	3500	S	583333	611026	1194359	0.02797
Agathobacter faecis	4822	S	141302	152981	294283	0.00689
Agathobacter sp900543445	2485	S	36333	2795	39128	0.00092
Agathobacter sp900552085	1062	S	6190	828	7018	0.00016
Agathobacter sp900548765	964	S	4429	304	4733	0.00011
Agathobacter sp900547695	1842	S	2178	710	2888	0.00007
Agathobacter sp900546625	3698	S	1509	217	1726	0.00004
UMGS1375 sp900066615	368	S	496999	886458	1383457	0.03240
UMGS1375 sp900551235	5322	S	914	357	1271	0.00003
Acetatifactor sp900066365	178	S	205711	378939	584650	0.01369
MGYG000004203	5391	S	7996	2039	10035	0.00024
Acetatifactor sp900766575	1111	S	7544	3496	11040	0.00026
Acetatifactor sp900760705	2769	S	582	118	700	0.00002
Enterocloster sp000155435	2012	S	67628	20486	88114	0.00206
Enterocloster citroniae	452	S	64537	36397	100934	0.00236
Enterocloster clostridioformis	2110	S	35838	54635	90473	0.00212
Enterocloster bolteae	2298	S	16296	19240	35536	0.00083
Enterocloster sp900541315	1909	S	8002	3910	11912	0.00028
Enterocloster sp900543885	1384	S	6369	4745	11114	0.00026
Enterocloster sp900551225	3873	S	5561	49	5610	0.00013
Enterocloster sp900555045	4051	S	1066	54	1120	0.00003
MGYG000001954	2868	S	887	416	1303	0.00003
Enterocloster sp900753815	2887	S	584	33	617	0.00001
Enterocloster sp900538485	1705	S	396	61	457	0.00001
Enterocloster sp900547035	2449	S	356	148	504	0.00001
Enterocloster sp900549235	2470	S	224	43	267	0.00001
Enterocloster sp900540675	5259	S	138	74	212	0.00000
Enterocloster clostridioformis_A	2404	S	93	111	204	0.00000
Enterocloster sp005845215	1686	S	82	15	97	0.00000
Fusicatenibacter saccharivorans	528	S	228145	483406	711551	0.01666
Fusicatenibacter sp900772675	4803	S	2361	282	2643	0.00006
MGYG000004233	5425	S	177	15	192	0.00000
CAG-81 sp900066535	460	S	219467	246483	465950	0.01091
MGYG000004582	5790	S	1793	81	1874	0.00004
MGYG000004677	5889	S	128	1	129	0.00000
MGYG000002628	3645	S	97	3	100	0.00000
Blautia_A hydrogenotrophica	163	S	47579	5169	52748	0.00124
Blautia_A sp900066145	455	S	23337	40806	64143	0.00150
Blautia_A wexlerae_A	2045	S	18484	65237	83721	0.00196
Blautia_A sp003474435	474	S	5357	8528	13885	0.00033
Blautia_A luti	431	S	4258	6409	10667	0.00025
Blautia_A sp900066335	544	S	4035	5629	9664	0.00023
Blautia_A sp900548245	5947	S	3520	5493	9013	0.00021
Blautia_A sp003471165	454	S	3358	6000	9358	0.00022
Blautia_A obeum_B	529	S	3346	10185	13531	0.00032
Blautia_A sp000436615	3260	S	1982	4364	6346	0.00015
Blautia_A obeum	467	S	896	1965	2861	0.00007
Blautia_A sp900120195	413	S	422	1310	1732	0.00004
MGYG000001189	1846	S	298	121	419	0.00001
Blautia_A sp900551075	4024	S	183	3	186	0.00000
Blautia_A sp900763175	1172	S	178	48	226	0.00001
Blautia_A sp900551715	4041	S	78	16	94	0.00000
Blautia_A sp900542045	3881	S	73	3	76	0.00000
Blautia_A wexlerae_B	6002	S	72	263	335	0.00001
Blautia_A sp900549015	4977	S	26	47	73	0.00000
Blautia_A sp900547615	1888	S	24	32	56	0.00000
Clostridium_Q saccharolyticum_A	3490	S	176355	178427	354782	0.00831
Clostridium_Q sp900547735	2464	S	650	22	672	0.00002
Clostridium_Q sp000435655	4123	S	256	26	282	0.00001
MGYG000002170	3103	S	81	8	89	0.00000
UBA9502 sp003480315	540	S	55229	83342	138571	0.00325
UBA9502 sp003506385	556	S	41003	107577	148580	0.00348
UBA9502 sp900540335	2466	S	312	38	350	0.00001
UBA7182 sp003480725	370	S	131926	125304	257230	0.00602
Eubacterium_G sp000434315	366	S	66458	57416	123874	0.00290
Eubacterium_G sp000432355	410	S	20629	26280	46909	0.00110
Eubacterium_G sp000435815	459	S	7353	10615	17968	0.00042
Eubacterium_G sp900550135	2492	S	197	253	450	0.00001
Eubacterium_G sp900548465	5221	S	102	120	222	0.00001
MGYG000001032	1669	S	28	3	31	0.00000
COE1 sp001916965	5628	S	112704	44792	157496	0.00369
RUG115 sp900066395	388	S	110716	99951	210667	0.00493
TF01-11 sp001414325	526	S	21654	40296	61950	0.00145
TF01-11 sp003529475	3255	S	10395	18522	28917	0.00068
TF01-11 sp000436755	2716	S	10072	16104	26176	0.00061
TF01-11 sp003524945	567	S	4015	6575	10590	0.00025
Lachnospira sp000436475	3600	S	47236	21031	68267	0.00160
Lachnospira rogosae_A	245	S	44165	42600	86765	0.00203
Lachnospira sp900772425	5576	S	3074	281	3355	0.00008
Lachnospira sp900545725	5581	S	475	55	530	0.00001
Lachnospira sp900316325	5511	S	169	6	175	0.00000
Lachnospira sp900547255	1192	S	101	4	105	0.00000
Lachnospira sp900552795	2915	S	27	4	31	0.00000
Lactonifactor sp009677585	6089	S	93512	15245	108757	0.00255
Anaerobutyricum hallii	543	S	3744	67081	70825	0.00166
Anaerobutyricum soehngenii	244	S	815	15770	16585	0.00039
Anaerobutyricum sp002161065	3725	S	49	4	53	0.00000
Lachnoclostridium_A sp003464085	566	S	43154	829	43983	0.00103
Lachnoclostridium_A edouardi	3413	S	21328	6460	27788	0.00065
Lachnoclostridium_A sp002160755	1915	S	9168	75	9243	0.00022
MGYG000001952	2865	S	3289	483	3772	0.00009
Hungatella sp005845265	382	S	58344	40496	98840	0.00231
Eubacterium_I sp900066595	207	S	57396	44950	102346	0.00240
Eubacterium_I sp900546495	1596	S	286	87	373	0.00001
AF33-28 sp003477885	457	S	53824	13712	67536	0.00158
Coprococcus sp000433075	3251	S	23599	15302	38901	0.00091
Coprococcus sp000154245	2576	S	3901	15095	18996	0.00044
Coprococcus sp900761435	4307	S	1706	27	1733	0.00004
Coprococcus sp900066115	437	S	270	936	1206	0.00003
Coprococcus sp900767685	714	S	28	16	44	0.00000
Coprococcus sp900548215	2615	S	24	16	40	0.00000
Mediterraneibacter lactaris	2011	S	14112	9371	23483	0.00055
Mediterraneibacter sp900752395	5145	S	11942	1341	13283	0.00031
Mediterraneibacter torques	2093	S	7376	8028	15404	0.00036
Mediterraneibacter massiliensis	2356	S	1546	532	2078	0.00005
MGYG000002772	3809	S	293	214	507	0.00001
MGYG000000545	1064	S	67	15	82	0.00000
MGYG000004609	5819	S	45	20	65	0.00000
MGYG000004558	5767	S	34	6	40	0.00000
MGYG000002150	3086	S	26	3	29	0.00000
Mediterraneibacter sp900555215	3616	S	21	1	22	0.00000
Mediterraneibacter sp900751785	1649	S	19	1	20	0.00000
Mediterraneibacter sp900553885	1872	S	18	7	25	0.00000
Dorea_A longicatena_B	3241	S	36916	62562	99478	0.00233
Blautia hominis	3437	S	9755	713	10468	0.00025
Blautia hansenii	2573	S	4976	14417	19393	0.00045
Blautia sp001304935	340	S	3326	692	4018	0.00009
Blautia coccoides	2551	S	1288	279	1567	0.00004
Blautia sp900547685	2446	S	398	288	686	0.00002
Blautia sp003287895	3085	S	58	15	73	0.00000
MGYG000002212	3154	S	51	8	59	0.00000
Blautia sp900543715	2438	S	25	3	28	0.00000
Blautia sp900539145	1618	S	19	42	61	0.00000
Lacrimispora sp902363835	384	S	30378	198	30576	0.00072
UBA7160 sp902363665	363	S	29150	26145	55295	0.00129
CAG-45 sp000438375	386	S	28279	19725	48004	0.00112
Bacteroides_F pectinophilus	2017	S	24530	24262	48792	0.00114
Marvinbryantia sp900066075	3239	S	22766	13435	36201	0.00085
Marvinbryantia sp900544685	4045	S	31	3	34	0.00000
Marvinbryantia sp014385005	5923	S	25	0	25	0.00000
Eisenbergiella tayi	3301	S	21416	7220	28636	0.00067
Eisenbergiella sp900539715	617	S	79	6	85	0.00000
Eisenbergiella sp900544445	4111	S	41	0	41	0.00000
Eisenbergiella sp900555195	5318	S	30	1	31	0.00000
UBA3402 sp003478355	561	S	20034	43892	63926	0.00150
MGYG000000680	1248	S	160	27	187	0.00000
Schaedlerella glycyrrhizinilytica	2099	S	14104	7133	21237	0.00050
Schaedlerella sp900066545	551	S	5100	6889	11989	0.00028
MGYG000001994	2912	S	196	144	340	0.00001
AM51-8 sp003478275	564	S	17156	15549	32705	0.00077
AM51-8 sp900761925	5251	S	146	5	151	0.00000
Catenibacillus sp902363555	347	S	13574	1918	15492	0.00036
Catenibacillus sp900557175	1916	S	28	0	28	0.00000
Muricomes sp000509105	421	S	1288	8095	9383	0.00022
Muricomes contortus_B	2305	S	315	1851	2166	0.00005
MGYG000003777	4930	S	21	1	22	0.00000
Clostridium_AP scindens	2001	S	10983	4057	15040	0.00035
CAG-95 sp900066375	3247	S	8928	10133	19061	0.00045
MGYG000002657	3682	S	278	131	409	0.00001
CAG-95 sp000438155	5294	S	255	164	419	0.00001
CAG-95 sp900553305	4806	S	66	18	84	0.00000
CAG-56 sp900539525	1633	S	5291	1280	6571	0.00015
CAG-56 sp900752065	1664	S	3055	881	3936	0.00009
MGYG000001219	1883	S	56	11	67	0.00000
Lachnoclostridium_B sp900066555	461	S	4454	6234	10688	0.00025
Lachnoclostridium_B sp000765215	3359	S	3620	1921	5541	0.00013
MGYG000004572	5783	S	41	3	44	0.00000
Acetivibrio_A ethanolgignens	3468	S	8068	3487	11555	0.00027
Anaerosporobacter mobilis	4019	S	8004	99	8103	0.00019
Faecalimonas umbilicata	2206	S	7636	4968	12604	0.00030
Faecalimonas sp900550235	1634	S	57	22	79	0.00000
Faecalimonas sp900555395	6060	S	33	2	35	0.00000
GCA-900066755 sp902363085	283	S	6891	2636	9527	0.00022
Sellimonas sp002161525	3252	S	3309	2642	5951	0.00014
Sellimonas intestinalis	395	S	1857	1187	3044	0.00007
OF09-33XD sp003481995	3238	S	5375	1141	6516	0.00015
CAG-127 sp900553925	983	S	4295	249	4544	0.00011
Eubacterium_F sp003491505	464	S	4205	1991	6196	0.00015
UBA3766 sp900769175	4622	S	3795	693811	697606	0.01634
Mediterraneibacter_A butyricigenes	403	S	3567	6601	10168	0.00024
CAG-632 sp900539185	1476	S	3396	394	3790	0.00009
CAG-632 sp002406015	2673	S	69	17	86	0.00000
MGYG000000627	1178	S	68	1	69	0.00000
MGYG000004689	5900	S	3440	3192	6632	0.00016
Dorea formicigenerans	377	S	3136	7192	10328	0.00024
Extibacter hylemonae	2579	S	2870	48	2918	0.00007
HGM12587 sp900766915	4518	S	2787	580	3367	0.00008
Anaerostipes rhamnosivorans	1616	S	2487	832	3319	0.00008
1XD42-69 sp014287635	4276	S	1684	566	2250	0.00005
CAG-303 sp900539455	5111	S	1678	223	1901	0.00004
CAG-510 sp900550475	2881	S	676	130	806	0.00002
CAG-510 sp000434615	1038	S	563	75	638	0.00001
CAG-510 sp900551115	3076	S	265	36	301	0.00001
UBA2856 sp009696445	5797	S	1248	15	1263	0.00003
GCA-900066135 sp900543575	4413	S	562	35	597	0.00001
MGYG000004839	6057	S	213	67	280	0.00001
UBA11774 sp003507655	800	S	734	251	985	0.00002
MGYG000003578	4693	S	319	51	370	0.00001
MGYG000004039	5204	S	170	50	220	0.00001
MGYG000004169	5353	S	147	104	251	0.00001
MGYG000000626	1176	S	596	60	656	0.00002
UBA2882 sp900549665	1011	S	571	164	735	0.00002
CAG-590 sp900548855	2677	S	245	125	370	0.00001
CAG-590 sp900544905	5084	S	224	26	250	0.00001
MGYG000000356	697	S	462	164	626	0.00001
Anaerosacchariphilus sp002160765	4936	S	354	71	425	0.00001
Anaerosacchariphilus sp014290175	2954	S	29	13	42	0.00000
MGYG000000721	1306	S	373	29	402	0.00001
CAG-791 sp900315055	4735	S	209	0	209	0.00000
CAG-791 sp000431495	1141	S	50	1	51	0.00000
Oribacterium sp004554245	1052	S	13	86	99	0.00000
MGYG000003442	4535	S	12	55	67	0.00000
Oribacterium sp900770445	4714	S	12	40	52	0.00000
MGYG000002243	3194	S	10	23	33	0.00000
MGYG000002075	3004	S	235	41	276	0.00001
CAG-882 sp900545175	5079	S	145	24	169	0.00000
CAG-882 sp900545455	3064	S	43	5	48	0.00000
Butyrivibrio_A sp900768755	4600	S	80	1	81	0.00000
Butyrivibrio_A sp000431815	956	S	61	6	67	0.00000
CAG-411 sp000437275	1722	S	139	96	235	0.00001
MGYG000004774	5992	S	137	10	147	0.00000
MGYG000000574	1099	S	128	27	155	0.00000
Dorea_B phocaeensis	2451	S	122	41	163	0.00000
CAG-194 sp000432915	5802	S	115	13	128	0.00000
MGYG000004519	5724	S	109	5	114	0.00000
