name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Bacteroides cellulosilyticus	3457	S	1485652	1681021	3166673	0.05665
Bacteroides salyersiae	2197	S	409275	389552	798827	0.01429
Bacteroides fragilis	2044	S	363222	256951	620173	0.01109
Bacteroides sp003545565	487	S	354407	191740	546147	0.00977
Bacteroides intestinalis	3474	S	346224	721582	1067806	0.01910
Bacteroides sp002491635	205	S	300635	89814	390449	0.00698
Bacteroides sp900547205	4391	S	275659	26258	301917	0.00540
Bacteroides ovatus	2098	S	249397	959291	1208688	0.02162
Bacteroides xylanisolvens	2057	S	241432	1158686	1400118	0.02505
Bacteroides fluxus	2086	S	209819	149026	358845	0.00642
Bacteroides eggerthii	2015	S	149462	163041	312503	0.00559
Bacteroides oleiciplenus	2183	S	122842	149834	272676	0.00488
Bacteroides sp900766195	4436	S	91074	40130	131204	0.00235
Bacteroides stercorirosoris	3234	S	68503	116480	184983	0.00331
Bacteroides neonati	2246	S	58773	8862	67635	0.00121
Bacteroides sp900765785	4424	S	21662	29141	50803	0.00091
Bacteroides pyogenes	1401	S	3628	758	4386	0.00008
Bacteroides togonis	1207	S	3101	2459	5560	0.00010
MGYG000002585	3605	S	2359	326	2685	0.00005
Bacteroides sp007896885	4442	S	2093	614	2707	0.00005
MGYG000004188	5376	S	1767	976	2743	0.00005
Bacteroides graminisolvens	4112	S	1664	66	1730	0.00003
Bacteroides sp900553815	5373	S	1492	312	1804	0.00003
MGYG000001807	2687	S	1264	90	1354	0.00002
Phocaeicola massiliensis	517	S	1251892	1579671	2831563	0.05066
Phocaeicola sp900066445	180	S	713233	337246	1050479	0.01879
Phocaeicola plebeius	2078	S	579687	787358	1367045	0.02446
Phocaeicola dorei	3484	S	551978	2255225	2807203	0.05022
Phocaeicola sp000436795	4141	S	388456	563045	951501	0.01702
Phocaeicola sp900066455	181	S	179328	269714	449042	0.00803
Phocaeicola coprophilus	555	S	84154	47667	131821	0.00236
Phocaeicola vulgatus	6128	S	36679	13607970	13644649	0.24410
Phocaeicola sartorii	6015	S	24275	37424	61699	0.00110
Phocaeicola salanitronis	1590	S	21330	48306	69636	0.00125
Phocaeicola sp902388365	3581	S	19338	953	20291	0.00036
Phocaeicola sp000432735	2721	S	10886	7381	18267	0.00033
Phocaeicola sp900542985	3589	S	5013	1742	6755	0.00012
