name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Mediterraneibacter massiliensis	2356	S	2169	655	2824	0.00008
MGYG000002772	3809	S	444	259	703	0.00002
MGYG000004558	5767	S	105	16	121	0.00000
MGYG000004609	5819	S	84	26	110	0.00000
MGYG000000545	1064	S	65	10	75	0.00000
Mediterraneibacter sp900751785	1649	S	36	1	37	0.00000
Mediterraneibacter sp900555215	3616	S	28	1	29	0.00000
Mediterraneibacter sp900553885	1872	S	24	7	31	0.00000
MGYG000002150	3086	S	17	1	18	0.00000
UBA7160 sp902363665	363	S	57209	41201	98410	0.00275
Anaerobutyricum hallii	543	S	7932	41190	49122	0.00137
Anaerobutyricum soehngenii	244	S	1308	7276	8584	0.00024
Anaerobutyricum sp002161065	3725	S	41	2	43	0.00000
Eisenbergiella tayi	3301	S	44730	12938	57668	0.00161
Eisenbergiella sp900539715	617	S	115	7	122	0.00000
Eisenbergiella sp900555195	5318	S	76	3	79	0.00000
Eisenbergiella sp900544445	4111	S	46	0	46	0.00000
Lacrimispora sp902363835	384	S	42676	221	42897	0.00120
Coprococcus sp000433075	3251	S	19764	11594	31358	0.00088
Coprococcus sp000154245	2576	S	3668	17581	21249	0.00059
Coprococcus sp900761435	4307	S	1386	23	1409	0.00004
Coprococcus sp900066115	437	S	207	918	1125	0.00003
Coprococcus sp900767685	714	S	23	18	41	0.00000
Coprococcus sp900548215	2615	S	17	15	32	0.00000
RUG115 sp900066395	388	S	39399	30699	70098	0.00196
Marvinbryantia sp900066075	3239	S	37820	18763	56583	0.00158
Marvinbryantia sp900544685	4045	S	64	5	69	0.00000
Marvinbryantia sp014385005	5923	S	22	0	22	0.00000
COE1 sp001916965	5628	S	36089	12035	48124	0.00135
Bacteroides_F pectinophilus	2017	S	34348	27799	62147	0.00174
AF33-28 sp003477885	457	S	32332	7407	39739	0.00111
UBA3402 sp003478355	561	S	29379	53545	82924	0.00232
MGYG000000680	1248	S	173	26	199	0.00001
Eubacterium_I sp900066595	207	S	25834	19115	44949	0.00126
Eubacterium_I sp900546495	1596	S	1066	266	1332	0.00004
Muricomes sp000509105	421	S	5729	17613	23342	0.00065
Muricomes contortus_B	2305	S	426	1163	1589	0.00004
MGYG000003777	4930	S	32	1	33	0.00000
CAG-45 sp000438375	386	S	22226	12558	34784	0.00097
Catenibacillus sp902363555	347	S	17122	2257	19379	0.00054
Catenibacillus sp900557175	1916	S	57	1	58	0.00000
Schaedlerella glycyrrhizinilytica	2099	S	9406	3928	13334	0.00037
Schaedlerella sp900066545	551	S	5314	6034	11348	0.00032
MGYG000001994	2912	S	330	198	528	0.00001
AM51-8 sp003478275	564	S	14772	11850	26622	0.00074
AM51-8 sp900761925	5251	S	189	5	194	0.00001
Faecalimonas umbilicata	2206	S	12312	6882	19194	0.00054
Faecalimonas sp900550235	1634	S	85	25	110	0.00000
Faecalimonas sp900555395	6060	S	34	1	35	0.00000
Clostridium_AP scindens	2001	S	12251	4021	16272	0.00046
Dorea formicigenerans	377	S	11044	20917	31961	0.00089
CAG-95 sp900066375	3247	S	10156	9605	19761	0.00055
MGYG000002657	3682	S	576	218	794	0.00002
CAG-95 sp000438155	5294	S	211	106	317	0.00001
CAG-95 sp900553305	4806	S	53	12	65	0.00000
Lachnoclostridium_B sp900066555	461	S	7020	8578	15598	0.00044
Lachnoclostridium_B sp000765215	3359	S	3771	1716	5487	0.00015
MGYG000004572	5783	S	17	1	18	0.00000
GCA-900066755 sp902363085	283	S	10222	3259	13481	0.00038
Acetivibrio_A ethanolgignens	3468	S	9917	3874	13791	0.00039
MGYG000004689	5900	S	9607	7096	16703	0.00047
Anaerosporobacter mobilis	4019	S	9539	109	9648	0.00027
CAG-127 sp900553925	983	S	9498	442	9940	0.00028
CAG-56 sp900752065	1664	S	5686	1440	7126	0.00020
CAG-56 sp900539525	1633	S	2860	542	3402	0.00010
MGYG000001219	1883	S	75	13	88	0.00000
OF09-33XD sp003481995	3238	S	7110	1301	8411	0.00024
Sellimonas sp002161525	3252	S	4053	2796	6849	0.00019
Sellimonas intestinalis	395	S	1944	1084	3028	0.00008
CAG-632 sp900539185	1476	S	6489	586	7075	0.00020
MGYG000000627	1178	S	71	1	72	0.00000
CAG-632 sp002406015	2673	S	71	14	85	0.00000
Eubacterium_F sp003491505	464	S	6138	2581	8719	0.00024
Anaerostipes rhamnosivorans	1616	S	4338	1095	5433	0.00015
Mediterraneibacter_A butyricigenes	403	S	4135	6639	10774	0.00030
Extibacter hylemonae	2579	S	3947	58	4005	0.00011
UBA3766 sp900769175	4622	S	3680	664224	667904	0.01868
CAG-510 sp900550475	2881	S	1359	204	1563	0.00004
CAG-510 sp900551115	3076	S	532	61	593	0.00002
CAG-510 sp000434615	1038	S	405	42	447	0.00001
HGM12587 sp900766915	4518	S	2298	384	2682	0.00008
UBA11774 sp003507655	800	S	1868	485	2353	0.00007
GCA-900066135 sp900543575	4413	S	1564	84	1648	0.00005
MGYG000004839	6057	S	272	65	337	0.00001
CAG-303 sp900539455	5111	S	1313	134	1447	0.00004
UBA2856 sp009696445	5797	S	1304	14	1318	0.00004
1XD42-69 sp014287635	4276	S	968	245	1213	0.00003
UBA2882 sp900549665	1011	S	610	134	744	0.00002
MGYG000000356	697	S	495	135	630	0.00002
MGYG000003578	4693	S	227	30	257	0.00001
MGYG000004039	5204	S	143	35	178	0.00000
MGYG000004169	5353	S	101	56	157	0.00000
Anaerosacchariphilus sp002160765	4936	S	420	69	489	0.00001
Anaerosacchariphilus sp014290175	2954	S	32	11	43	0.00000
CAG-791 sp900315055	4735	S	334	1	335	0.00001
CAG-791 sp000431495	1141	S	67	2	69	0.00000
MGYG000000626	1176	S	373	29	402	0.00001
CAG-590 sp900548855	2677	S	174	85	259	0.00001
CAG-590 sp900544905	5084	S	146	28	174	0.00000
MGYG000000721	1306	S	314	19	333	0.00001
Oribacterium sp004554245	1052	S	17	144	161	0.00000
MGYG000002243	3194	S	13	39	52	0.00000
MGYG000003442	4535	S	7	41	48	0.00000
Oribacterium sp900770445	4714	S	6	25	31	0.00000
MGYG000004774	5992	S	231	14	245	0.00001
MGYG000004519	5724	S	201	10	211	0.00001
Merdimonas sp900553355	1615	S	199	39	238	0.00001
MGYG000000574	1099	S	180	33	213	0.00001
Butyrivibrio_A sp900768755	4600	S	87	1	88	0.00000
Butyrivibrio_A sp000431815	956	S	78	6	84	0.00000
MGYG000000378	751	S	159	13	172	0.00000
MGYG000000346	676	S	157	8	165	0.00000
CAG-411 sp000437275	1722	S	152	87	239	0.00001
CAG-882 sp900545175	5079	S	107	19	126	0.00000
